qualification,country,people,year
医療,インド,0,2014
医療,インドネシア,30,2014
医療,オーストラリア,1,2014
医療,カナダ,4,2014
医療,スリランカ,0,2014
医療,タイ,4,2014
医療,ネパール,4,2014
医療,パキスタン,0,2014
医療,バングラデシュ,0,2014
医療,フィリピン,10,2014
医療,ブラジル,0,2014
医療,フランス,0,2014
医療,ベトナム,11,2014
医療,ペルー,1,2014
医療,マレーシア,4,2014
医療,ロシア,1,2014
医療,英国,0,2014
医療,韓国,86,2014
医療,中国,511,2014
医療,米国,4,2014
技術,インド,4172,2014
技術,インドネシア,636,2014
技術,オーストラリア,230,2014
技術,カナダ,241,2014
技術,スリランカ,433,2014
技術,タイ,451,2014
技術,ネパール,474,2014
技術,パキスタン,69,2014
技術,バングラデシュ,518,2014
技術,フィリピン,2164,2014
技術,ブラジル,83,2014
技術,フランス,700,2014
技術,ベトナム,4393,2014
技術,ペルー,15,2014
技術,マレーシア,697,2014
技術,ロシア,89,2014
技術,英国,404,2014
技術,韓国,5084,2014
技術,中国,20873,2014
技術,米国,886,2014
技能,インド,3926,2014
技能,インドネシア,168,2014
技能,オーストラリア,125,2014
技能,カナダ,38,2014
技能,スリランカ,155,2014
技能,タイ,1117,2014
技能,ネパール,7412,2014
技能,パキスタン,164,2014
技能,バングラデシュ,235,2014
技能,フィリピン,376,2014
技能,ブラジル,34,2014
技能,フランス,64,2014
技能,ベトナム,212,2014
技能,ペルー,24,2014
技能,マレーシア,42,2014
技能,ロシア,35,2014
技能,英国,83,2014
技能,韓国,1092,2014
技能,中国,17240,2014
技能,米国,132,2014
教育,インド,30,2014
教育,インドネシア,5,2014
教育,オーストラリア,691,2014
教育,カナダ,970,2014
教育,スリランカ,11,2014
教育,タイ,1,2014
教育,ネパール,11,2014
教育,パキスタン,3,2014
教育,バングラデシュ,5,2014
教育,フィリピン,332,2014
教育,ブラジル,23,2014
教育,フランス,60,2014
教育,ベトナム,2,2014
教育,ペルー,8,2014
教育,マレーシア,3,2014
教育,ロシア,11,2014
教育,英国,1220,2014
教育,韓国,88,2014
教育,中国,69,2014
教育,米国,5330,2014
教授,インド,370,2014
教授,インドネシア,103,2014
教授,オーストラリア,198,2014
教授,カナダ,222,2014
教授,スリランカ,33,2014
教授,タイ,119,2014
教授,ネパール,53,2014
教授,パキスタン,25,2014
教授,バングラデシュ,158,2014
教授,フィリピン,92,2014
教授,ブラジル,37,2014
教授,フランス,255,2014
教授,ベトナム,159,2014
教授,ペルー,13,2014
教授,マレーシア,48,2014
教授,ロシア,107,2014
教授,英国,418,2014
教授,韓国,919,2014
教授,中国,1751,2014
教授,米国,990,2014
興行,インド,1,2014
興行,インドネシア,1,2014
興行,オーストラリア,82,2014
興行,カナダ,52,2014
興行,スリランカ,0,2014
興行,タイ,51,2014
興行,ネパール,0,2014
興行,パキスタン,1,2014
興行,バングラデシュ,0,2014
興行,フィリピン,436,2014
興行,ブラジル,114,2014
興行,フランス,23,2014
興行,ベトナム,3,2014
興行,ペルー,3,2014
興行,マレーシア,1,2014
興行,ロシア,44,2014
興行,英国,57,2014
興行,韓国,262,2014
興行,中国,126,2014
興行,米国,374,2014
芸術,インド,0,2014
芸術,インドネシア,0,2014
芸術,オーストラリア,9,2014
芸術,カナダ,5,2014
芸術,スリランカ,0,2014
